join,codice,st,t_ele,f_elet,dt_ele,l_terr,area,cod_com,desc_com,cod_prov,desc_prov,ele_m,ele_f,ele_t,vot_m,vot_f,vot_t,perc_vot,sz_perv,sz_tot,fine_rip,sk_bianche,sk_nulle,sk_contestate,tot_vot_lis,non_valid,dt_agg,data_prec_elez,circ_sto,reg_sto,prov_sto,comu_sto,tipo_tras,NR.,DESCRIZIONE COMUNE,SIGLA,CODICE ELETTORALE,CODICE ISTAT,CODICE BELFIORE,pref_silvia,pref_marcello,dati_presenti
540010,2050540010,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,10,ABANO TERME,54,PADOVA,7946,8811,16757,4237,4474,8711,"51,98",18,18,N,54,202,0,8455,,20240610051047.0,20190526000000.0,2.0,5.0,54.0,10.0,SZ,1,ABANO TERME,PD,1050540010,28001,A001,30,22,1
710010,2050710010,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,10,ADRIA,71,ROVIGO,7995,8512,16507,3630,3622,7252,"43,93",25,25,N,47,234,0,6971,,20240610044949.0,20190526000000.0,2.0,5.0,71.0,10.0,CO,48,ADRIA,RO,1050710010,29001,A059,5,3,1
890010,2050890010,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,10,AFFI,89,VERONA,959,1019,1978,491,514,1005,"50,81",2,2,N,5,33,0,967,,20240610021314.0,20190526000000.0,2.0,5.0,89.0,10.0,CO,50,AFFI,VR,1050890010,23001,A061,6,1,1
610010,2080610010,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,10,AGAZZANO,61,PIACENZA,779,817,1596,420,402,822,"51,50",2,2,N,12,19,0,791,,20240610011654.0,20190526000000.0,2.0,8.0,61.0,10.0,SZ,54,AGAZZANO,PC,1080610010,33001,A067,3,1,1
540020,2050540020,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,20,AGNA,54,PADOVA,1280,1308,2588,873,900,1773,"68,51",3,3,N,68,69,0,1636,,20240610025620.0,20190526000000.0,2.0,5.0,54.0,20.0,SZ,62,AGNA,PD,1050540020,28002,A075,1,0,1
100010,2050100010,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,10,AGORDO,10,BELLUNO,1850,1992,3842,1054,1108,2162,"56,27",4,4,N,88,109,0,1965,,20240610023711.0,20190526000000.0,2.0,5.0,10.0,10.0,SZ,67,AGORDO,BL,1050100010,25001,A083,1,1,1
900010,2050900010,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,10,AGUGLIARO,90,VICENZA,682,670,1352,426,425,851,"62,94",2,2,N,51,35,0,765,,20240610023643.0,20190526000000.0,2.0,5.0,90.0,10.0,CO,75,AGUGLIARO,VI,1050900010,24001,A093,0,0,1
850010,2060850010,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,10,AIELLO DEL FRIULI,85,UDINE,981,1084,2065,439,465,904,"43,78",2,2,N,9,16,0,879,,20240610004519.0,20190526000000.0,2.0,6.0,85.0,10.0,SZ,81,AIELLO DEL FRIULI,UD,1060850010,30001,A103,3,1,1
830010,2040830010,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,10,ALA,83,TRENTO,3769,3692,7461,1619,1591,3210,"43,02",7,7,N,30,61,0,3119,,20240610020306.0,20190526000000.0,2.0,4.0,83.0,10.0,SZ,91,ALA,TN,1040830010,22001,A116,11,6,1
890020,2050890020,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,20,ALBAREDO D'ADIGE,89,VERONA,2143,2090,4233,923,862,1785,"42,17",4,4,N,11,50,0,1724,,20240610015158.0,20190526000000.0,2.0,5.0,89.0,20.0,CO,108,ALBAREDO D'ADIGE,VR,1050890020,23002,A137,1,0,1
560010,2080560010,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,10,ALBARETO,56,PARMA,1137,1237,2374,598,586,1184,"49,87",4,4,N,55,52,0,1077,,20240610015357.0,20190526000000.0,2.0,8.0,56.0,10.0,SZ,110,ALBARETO,PR,1080560010,34001,A138,2,1,1
900020,2050900020,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,20,ALBETTONE,90,VICENZA,966,958,1924,372,357,729,"37,89",2,2,N,6,19,0,704,,20240610024609.0,20190526000000.0,2.0,5.0,90.0,20.0,CO,118,ALBETTONE,VI,1050900020,24002,A154,0,0,1
830020,2040830020,ESERCIZIO,Europee,SCRUTINI,20240609000000,COMUNE,I,20,ALBIANO,83,TRENTO,890,853,1743,293,267,560,"32,13",1,1,N,3,18,0,539,,20240610050204.0,20190526000000.0,2.0,4.0,83.0,20.0,SZ,120,ALBIANO,TN,1040830020,22002,A158,0,0,1
